_FUNDO_KEY;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;MES_ALVO_FMT;MES_SELECIONADO_FMT;DEFASAGEM_MESES;DISCLAIMER
00807777000162;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
00832435000100;00.832.435/0001-00;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
01375954000141;01.375.954/0001-41;PLANNER REDWOOD FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO RESPOSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
01591605000167;01.591.605/0001-67;SANTANDER INSTITUCIONAL RENDA FIXA REF DI - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
01597187000115;01.597.187/0001-15;SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
01623379000159;01.623.379/0001-59;ITAÚ FPP MODERADO FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉD PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
01630558000113;01.630.558/0001-13;SANTANDER RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
02224382000162;02.224.382/0001-62;SANTANDER  EQUILÍBRIO RENDA FIXA REF DI CRÉDITO PRIVADO - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
02846259000183;02.846.259/0001-83;TIBAGI FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
03303563000147;03.303.563/0001-47;PERSONAL FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
03389374000139;03.389.374/0001-39;BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
03597122000103;03.597.122/0001-03;RESULT FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
03960320000181;03.960.320/0001-81;UNIMED RF 100 C EM FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
03998735000144;03.998.735/0001-44;MAX FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
04113821000195;04.113.821/0001-95;FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO COLÔNIA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
04201010000146;04.201.010/0001-46;PB KYMA FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
04786966000157;04.786.966/0001-57;DUCAPE FUNDO DE INVESTIMENTO FINANCEIRO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
04871799000142;04.871.799/0001-42;BRASIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO CP;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
04957589000171;04.957.589/0001-71;CIFRÃO CLASSE DE INVESTIMENTO  MULTIMERCADO PREVIDÊNCIÁRIO - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
05011902000147;05.011.902/0001-47;BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI DUBLIN - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
05117292000160;05.117.292/0001-60;FUNDO DE INVESTIMENTO MULTIMERCADO PETROS CRÉDITO PRIVADO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
05217490000104;05.217.490/0001-04;MONTELLANO FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
05357507000110;05.357.507/0001-10;BANESTES INSTITUCIONAL FIF RENDA FIXA RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
05508422000196;05.508.422/0001-96;EQTPREV STRATEGY FIF MULTIMERCADO CRÉDITO PRIVADO DE RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
05832360000173;05.832.360/0001-73;BB ATACADO MISTO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO RESP LIM;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
06015421000172;06.015.421/0001-72;BB TOP CRÉDITO PRIVADO FUNDO DE INVESTIMENTO FINANCEIRO DE RENDA FIXA LONGO PRAZO RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
07098323000109;07.098.323/0001-09;BB PROFETA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CREDITO PRIVADO  LONGO PRAZO RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
07593967000173;07.593.967/0001-73;BRASILPREV TOP TP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
08370193000184;08.370.193/0001-84;ARGENT FUNDO DE INVESTIMENTO FINANCEIRO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
08931953000185;08.931.953/0001-85;BNP PARIBAS AURORA CLASSE DE  INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE  LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09075563000113;09.075.563/0001-13;JPP FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09077585000112;09.077.585/0001-12;JPP II FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09275554000176;09.275.554/0001-76;RM FUTURA MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09315625000117;09.315.625/0001-17;FUNDO DE INVESTIMENTO FINANCEIRO SECURITY RENDA FIXA REFERENCIADO DI LONGO PRAZO CRÉDITO PRIVADO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09463539000151;09.463.539/0001-51;HPB FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09498697000147;09.498.697/0001-47;SICREDI SULAMÉRICA FIF MULTIMERCADO MULTI CLASSES LONGO PRAZO - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09555452000104;09.555.452/0001-04;GAMA FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
09577500000165;09.577.500/0001-65;SANTANDER CRESCIMENTO RF CRÉD PRIV LONGO PRAZO - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
10341829000101;10.341.829/0001-01;DAYCOVAL TOKAJ FUNDO DE INVESTIMENTO FINANCEIRO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
10618964000151;10.618.964/0001-51;SANTANDER CRESCIMENTO INSTITUCIONAL RF - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
10626040000105;10.626.040/0001-05;D1 FUNDO DE INVESTIMENTO FINANCEIRO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
10843445000197;10.843.445/0001-97;XP REFERENCIADO FI FINANCEIRO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
11145383000102;11.145.383/0001-02;BRAIN NOVO BITTENCOURT FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CREDITO PRIVADO RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
13021642000119;13.021.642/0001-19;KYKNOS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO INVESTIMENTO EXTERIOR;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
13052736000155;13.052.736/0001-55;SANTANDER PREV TKSSP1 MULTIMERCADO CREDITO PRIVADO - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
13058736000162;13.058.736/0001-62;CAIXA PREVINVEST PREVIDENCIÁRIO FIF RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
13106998000155;13.106.998/0001-55;CAPITANIA FIX CREDITO PRIVADO FI FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
13425757000179;13.425.757/0001-79;MAIS VIDA II FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
13804852000183;13.804.852/0001-83;MAGENTA - FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR - CREDITO PRIVADO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
13910764000166;13.910.764/0001-66;FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO VALUE PREV CMA I - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
14113348000108;14.113.348/0001-08;PHISIQ QI GRAND SLAM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
14285221000168;14.285.221/0001-68;AMARANTE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
14379407000186;14.379.407/0001-86;BRB CRÉDITO CORPORATIVO FUNDO DE INVESTIMENTO EM RENDA FIXA CP LP RESPONSABILIDADE LIMITADO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
14843780000146;14.843.780/0001-46;JULIUS BAER GESTÃO INFRA 90 FIF - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRA - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
15060253000128;15.060.253/0001-28;QUARTZ DC PLAN FI FINANCEIRO RENDA FIXA PREVIDENCIÁRIO - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
15091732000101;15.091.732/0001-01;ALVORADA FIF MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
15164899000155;15.164.899/0001-55;PANTHER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
15398622000197;15.398.622/0001-97;BB MWP FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
16728475000139;16.728.475/0001-39;DAYTONA FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
16744655000104;16.744.655/0001-04;MOBILE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
17041023000147;17.041.023/0001-47;HARPIA CRED PRIV FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
17072641000154;17.072.641/0001-54;PORTO SEGURO INFLAÇÃO MASTER PREVIDENCIÁRIO FIF RENDA FIXA RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
17138466000150;17.138.466/0001-50;SANTANDER ANS II RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
17138500000197;17.138.500/0001-97;SANTANDER AMAZONAS MULTIMERCADO CRÉDITO PRIVADO - FIF;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
17247748000196;17.247.748/0001-96;JADE EXCLUSIVO FUNDO DE INVESTIMENTO FINANCEIRO;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
17420899000102;17.420.899/0001-02;PRAIA DO LESTE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
17898668000109;17.898.668/0001-09;AQUILA 6 CRÉDITO PRIVADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
18206970000103;18.206.970/0001-03;REDMOND FUNDO DE INVESTIMENTO DE AÇÕES;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
18428655000120;18.428.655/0001-20;BB TOP RENDA FIXA CREDITO PRIVADO ALTO RENDIMENTO LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
18599004000101;18.599.004/0001-01;SANTANDER PREV CRESCIMENTO RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
18719154000101;18.719.154/0001-01;PORTO SEGURO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADO DI CRED PRIV RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
19388311000106;19.388.311/0001-06;AMANTAKA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
19550100000110;19.550.100/0001-10;SANTANDER FLEXÍVEL RF CRÉD PRIV - FIF RESP LIMITADA;02/2026;01/2026;1;Sem carteira no mes-alvo 02/2026. Usada carteira de 01/2026.
